SKU,ProductName,Location,CurrentStock,ReorderPoint,MaxCapacity,Status,UnitWeight_kg,Supplier,LastRestockDate
SKU-10593042,Future-proofed non-volatile paradigm,C2,959,110,1436,In Stock,30.37,Baker Ltd,2026-01-16
SKU-14181825,De-engineered multi-state standardization,A2,614,105,1145,In Stock,12.32,Gaines LLC,2026-01-08
SKU-96158265,Self-enabling coherent system engine,D1,808,126,1736,In Stock,31.14,"Miller, Shelton and Vargas",2026-01-01
SKU-79435239,Total well-modulated knowledge user,C2,836,91,1536,In Transit,34.58,"Jordan, Cook and Key",2026-01-05
SKU-43667796,Networked incremental product,C2,163,84,501,In Stock,42.27,Reed-Andersen,2025-12-23
SKU-07283475,Sharable scalable installation,A1,593,86,1197,In Stock,20.0,Flores LLC,2026-02-11
SKU-19300771,Organic exuding moderator,B2,833,125,1946,In Transit,39.11,Miller Ltd,2025-12-27
SKU-91804839,Multi-tiered coherent challenge,D1,948,130,1008,In Stock,9.1,Baker-Glover,2026-02-19
SKU-64820347,Open-source transitional contingency,A1,686,70,909,In Transit,27.01,Garcia-Gaines,2026-02-10
SKU-55809054,Organized client-server frame,Bulk,598,59,1135,In Stock,49.43,Smith-Woods,2026-01-22
SKU-85893320,Configurable heuristic core,C2,163,57,1317,In Transit,42.11,"Foster, Campbell and Figueroa",2025-12-22
SKU-92592254,Assimilated user-facing model,A2,623,52,806,In Transit,27.01,"King, Smith and Robertson",2026-01-17
SKU-51218171,Versatile hybrid process improvement,Bulk,74,148,1982,Low Stock,38.25,Williams LLC,2026-01-08
SKU-61521827,Operative motivating Local Area Network,C1,113,121,1555,Low Stock,7.93,Fuller Group,2026-02-09
SKU-45095290,Optional bandwidth-monitored flexibility,Bulk,823,86,1718,In Stock,36.95,"Hudson, Fernandez and Spencer",2026-02-09
SKU-63980288,Digitized motivating frame,C1,126,74,1352,In Stock,17.69,Gutierrez-Owens,2025-12-31
SKU-12490424,Diverse coherent installation,C1,182,70,764,In Stock,15.5,Mendoza-Klein,2026-02-13
